episode,timestep,result,own_alive,enemy_alive,ep_steps,ep_reward,kills,deaths,act_hold,act_nav,act_frenzy,act_retreat,act_zone,act_split,act_merge,act_aggro,win_rate_100,avg_survivors_100,avg_ep_len_100,stage,timestamp
152,1490,LOSS,0,2,9,-9.1900,48,50,3,4,2,0,0,0,0,0,0.490,2.4,9.8,1,23:47:25
153,1500,WIN,2,0,10,11.1600,50,48,4,3,3,0,0,0,0,0,0.500,2.4,9.8,1,23:47:32
154,1510,WIN,1,0,10,11.0300,50,49,3,2,5,0,0,0,0,0,0.510,2.3,9.8,1,23:47:39
155,1521,WIN,1,0,11,11.0200,50,49,4,3,4,0,0,0,0,0,0.520,2.3,9.8,1,23:47:47
156,1531,LOSS,0,2,10,-9.2000,48,50,4,0,6,0,0,0,0,0,0.520,2.3,9.8,1,23:47:54
157,1540,LOSS,0,4,9,-9.2900,46,50,2,4,3,0,0,0,0,0,0.520,2.3,9.8,1,23:48:00
158,1550,LOSS,0,2,10,-9.2000,48,50,0,3,7,0,0,0,0,0,0.510,2.3,9.8,1,23:48:07
159,1560,WIN,2,0,10,11.1600,50,48,7,0,3,0,0,0,0,0,0.510,2.3,9.8,1,23:48:14
160,1570,WIN,3,0,10,11.2900,50,47,4,2,4,0,0,0,0,0,0.510,2.3,9.8,1,23:48:21
161,1582,LOSS,0,1,12,-9.1700,49,50,4,6,2,0,0,0,0,0,0.500,2.3,9.9,1,23:48:29
162,1592,LOSS,0,2,10,-9.2000,48,50,1,6,3,0,0,0,0,0,0.490,2.3,9.9,1,23:48:36
163,1601,LOSS,0,3,9,-9.2400,47,50,3,3,3,0,0,0,0,0,0.480,2.3,9.9,1,23:48:43
164,1613,WIN,1,0,12,11.0100,50,49,4,3,5,0,0,0,0,0,0.480,2.3,9.9,1,23:48:51
165,1623,WIN,2,0,10,11.1600,50,48,4,0,6,0,0,0,0,0,0.480,2.2,9.9,1,23:48:58
166,1633,LOSS,0,1,10,-9.1500,49,50,2,4,4,0,0,0,0,0,0.480,2.2,9.9,1,23:49:05
167,1643,LOSS,0,1,10,-9.1500,49,50,3,6,1,0,0,0,0,0,0.480,2.2,9.9,1,23:49:12
168,1652,LOSS,0,5,9,-9.3400,45,50,0,4,5,0,0,0,0,0,0.480,2.2,9.8,1,23:49:18
169,1662,LOSS,0,2,10,-9.2000,48,50,3,3,4,0,0,0,0,0,0.480,2.2,9.8,1,23:49:25
170,1672,WIN,2,0,10,11.1600,50,48,3,2,5,0,0,0,0,0,0.490,2.2,9.8,1,23:49:32
171,1681,WIN,3,0,9,11.3000,50,47,3,2,4,0,0,0,0,0,0.500,2.3,9.8,1,23:49:39
172,1691,WIN,2,0,10,11.1600,50,48,3,3,4,0,0,0,0,0,0.500,2.3,9.8,1,23:49:46
173,1700,LOSS,0,2,9,-9.1900,48,50,6,2,1,0,0,0,0,0,0.490,2.3,9.8,1,23:49:52
174,1709,LOSS,0,4,9,-9.2900,46,50,4,2,3,0,0,0,0,0,0.490,2.3,9.8,1,23:49:59
175,1718,WIN,1,0,9,11.0400,50,49,4,3,2,0,0,0,0,0,0.490,2.2,9.8,1,23:50:05
176,1728,LOSS,0,3,10,-9.2500,47,50,3,6,1,0,0,0,0,0,0.480,2.2,9.8,1,23:50:12
